item,scenario,group
avoi_7,"Angekommen auf einer Feier, bei der ich niemanden kenne, schaue ich mich beim Buffet erst einmal um, um nicht in die Menge gehen zu müssen.",1.0
avoi_8,"In einer Gruppe von fremden Personen findet ein Gespräch statt, zu dem ich etwas Gutes beizutragen wüsste. Aber aus Schüchternheit höre ich nur zu.",2.0
cold_1,"Mal wieder erzählt eine Bekanntschaft ausführlich von ihren Problemen. Obwohl ich die Person mag, schalte ich auf Durchzug, weil ich gerade keine Lust habe, zuzuhören.",1.0
cold_11,"Zum Geburtstag erhalte ich ein Geschenk, das mir nicht gefällt. Obwohl sich die Person viel Mühe gemacht hat, sage ich nur kurz Danke und lege es beiseite.",2.0
cold_13,"Jemand fragt mich um Rat, und obwohl ich eigentlich ausführlich antworten könnte, sage ich ""ich weiß nicht"", um meine Ruhe zu haben.",2.0
cold_15,"Eine obdachlose Person fragt, ob ich ihr etwas Geld geben könnte. Ich tue so, als hätte ich sie nicht gesehen und laufe weiter.",1.0
cold_2,"In meiner WG besuchen uns der Freundeskreis eines Mitbewohners. Obwohl ich mehr Zeit mit meiner WG verbringen möchte, bleibe ich aus Bequemlichkeit in meinem Zimmer.",1.0
cold_3,"Ein:e Freund:in schreibt mir eine längere Nachricht. Obwohl meine Rückmeldung wichtig wäre, schiebe ich die Antwort auf, weil ich gerade keine Lust habe.",2.0
cold_4,"Ich komme müde und gestresst in meine Wohngemeinschaft. Die Anderen fragen, wie mein Tag war. Ich antworte kurz angebunden, um das Gespräch zu verkürzen.",2.0
cold_6,"Ein enger Arbeitskollege braucht offensichtlich Hilfe, und obwohl ich helfen könnte, tue ich das nicht, weil ich gerade keine Lust habe.",1.0
vind_1,"Ich bin bei einer Familienfeier und schlecht gelaunt. Obwohl ich das nicht an anderen auslassen möchte, reagiere ich abweisend, als meine Eltern mich etwas fragen.",1.0
vind_13,Über meine Arbeit lerne ich eine besonders ehrgeizige Person kennen. Ich kann mir einen negativen Kommentar über diese im Gespräch mit befreundeten Personen nicht verkneifen.,2.0
vind_15,Ein:e Freund:in versetzt mich zum zweiten Mal. Verärgert schreibe ich ihr eine kühle und angriffslustige Nachricht. Dabei kenne ich die Gründe dafür nicht.,1.0
vind_2,"Nachdem ich mich mit jemandem aus meinem Freundeskreis gestritten habe, ignoriere ich vor Ärger zeitweise dessen Nachrichten auf meinem Handy und nehme Anrufe nicht entgegen.",1.0
vind_3,Im Streit mit jemandem aus dem Freundeskreis kann ich die letzte Bemerkung meines Gegenübers nicht unkommentiert lassen. Dabei könnte es den Konflikt verschlimmern.,2.0
vind_5,"Bei einem Gruppenprojekt kann ich nicht widerstehen, einige Verbesserungen an der Arbeit einer anderen mitarbeitenden Person vorzunehmen. Dabei haben wir darüber nicht gesprochen.",2.0
vind_6,"Mein:e Partner:in und ich streiten uns. Als mir mein Gegenüber einen Vorwurf macht, packe ich aus Wut verschiedene Fehltritte aus der Vergangenheit aus.",2.0
vind_9,"Als ich von meinem Studium/Ausbildung erzähle, wollen mir meine Eltern einen Rat bezüglich meiner Karriere geben. Ich reagiere genervt, dabei will ich sie nicht verletzen.",1.0
